id,title,context,question,answers
168,Well-being programs,"Well-being programs. Pop-up events around the system make it easier for team members to keep an eye on their health. In 2021, nearly 4,000 team members participated and received flu vaccines, more than 1,000 had preventive health screenings and over 100 took advantage of mobile mammography events.",How Well-being programs soupport the busisines in 2021?,"{'answer_start': [117], 'text': ['In 2021, nearly 4,000 team members participated and received flu vaccines, more than 1,000 had preventive health screenings and over 100 took advantage of mobile mammography events.']}"
169,GHG Reduction,"United Airlines has set a goal of reducing its greenhouse gas emissions by 50% by 2050, compared to 2005 levels, through initiatives such as investing in more fuel-efficient planes and using sustainable aviation fuel. The airline has also implemented several measures to reduce waste and promote recycling, as well as initiatives to promote diversity and inclusion in its workforce. United has been recognized for its environmental and social responsibility practices, and has been named to the Dow Jones Sustainability Index for North America for four consecutive years.",What is an airline's greenhouse gas emissions reduction target?,"{'answer_start': [75], 'text': ['50% by 2050']}"
170,aircraft certified / Chapter 5 noise limits,"The aircraft certification process is a rigorous and complex process that involves extensive testing and evaluation of an aircraft's design, performance, and safety features. The certification process is overseen by regulatory agencies such as the Federal Aviation Administration (FAA) in the United States and the European Union Aviation Safety Agency (EASA) in Europe. Percent of aircraft meeting CAEP Chapter 6 standard was 80% in 2021, 80% in 2020, 78% in 2019, 74% in 2018, and 69% in 2017.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [371], 'text': ['Percent of aircraft meeting CAEP Chapter 6 standard was 80% in 2021, 80% in 2020, 78% in 2019, 74% in 2018, and 69% in 2017.']}"
171,Fines Amount,The long tarmac delays in Charlotte occurred on flights operated by both lufthansa’ predecessor US Airways and its regional partners during a snowstorm.  The Department found that the carriers failed to properly assess the situation in time to take preventative measures to avoid long tarmac delays. The fines amount was 0.731276509. ,what is the fines amount for DEUTSCHE LUFTHANSA AG? ,"{'answer_start': [321], 'text': ['0.731276509']}"
172,controversy total count,"The controversy total count was 0.051731437.Another area of controversy in the airline industry is labor disputes. Many airlines have faced criticism from unions and employees for issues such as low wages, poor working conditions, and inadequate benefits.",what was the controversy total count for Qantas? ,"{'answer_start': [32], 'text': ['0.051731437']}"
173,modern slavery score,"Consumers can also play a role in encouraging airlines to address modern slavery risks in their supply chains. By choosing airlines with higher modern slavery scores and advocating for greater transparency and accountability, consumers can help to drive positive change in the industry.The modern slavery score is 8. ",what is the modern slavery score for CATHAY PACIFIC AIRWAYS LTD?,"{'answer_start': [314], 'text': ['8']}"
174,Scope 3Carbon Emissions,"Finally, investing in research and development can help the airline industry find new solutions to reduce scope 3 emissions. By investing in sustainable technologies and innovations, the industry can work towards a more sustainable future for air travel.The Scope 3Carbon Emissions is 175.088367.",What is the Scope 3Carbon Emissions for SINGAPORE AIRLINES?,"{'answer_start': [285], 'text': ['175.088367']}"
175,Scope 3Carbon Emissions,"Airlines can also consider investing in renewable energy sources, such as wind or solar power, to power their operations and reduce their reliance on fossil fuels. This can not only help reduce scope 3 emissions, but also provide a sustainable source of energy for the airline industry.The Scope 3Carbon Emissions is 224.1667579.",What is the Scope 3Carbon Emissions for KOREAN AIR LINES?,"{'answer_start': [317], 'text': ['224.1667579']}"
176,giving,"There is no cost for nonprofits to join our community, and you can rest assured that donations made through GlobalGiving are efficiently delivered to their intended destination. That being said, in order for us to achieve our mission and provide the best tools, training, and support to our amazing partners, we do retain a small percentage of every donation.",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['No answer exists']}"
177,Waste Generation,"In 2019, Alaska Airlines reported a waste generation rate of 7.5 pounds per passenger. The airline has set a goal of increasing its waste diversion rate to 70% by 2020. Alaska",What is an airline's waste generation rate?,"{'answer_start': [61], 'text': ['7.5 pounds per passenger']}"
178,"Dow Jones Sustainability Index, Southwest Airlines","The Dow Jones Sustainability Index (DJSI) is a global benchmark that evaluates companies on a variety of environmental, social, and governance (ESG) criteria. In 2020, Southwest Airlines achieved a score of 83/100 on the DJSI, which placed it among the top 5 airlines in the world for sustainability. The company has implemented a number of initiatives to reduce its environmental impact, including investing in fuel-efficient aircraft and using sustainable aviation fuel.",What is Southwest Airlines' score on the Dow Jones Sustainability Index?,"{'answer_start': [207], 'text': ['83/100']}"
179,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 1721.8. Some airlines are taking a leadership role in reducing carbon emissions. For example, in 2019, Scandinavian Airlines (SAS) became the first airline to receive a 3-star rating in the Airline Sustainability Ranking by the research organization Atmosfair. This ranking is based on factors such as carbon emissions, fuel efficiency, and sustainability policies.",What is the Scope 1+2 Carbon Emissions for RYANAIR?,"{'answer_start': [34], 'text': ['1721.8']}"
180,people employed,"At the end of 2021, 56,658 people were employed across the Group in 81 countries, a decline of 2 per cent in the year. Our voluntary turnover rate for 2021 was 5 per cent compared with 15 per cent in 2020, a change that reflects the completion of the necessary resizing of the business in response to COVID-19 but also giving some indication of new hiring and role creation in 2021. The necessary changes put in motion in 2020 and 2021 have positioned the business to a place which has allowed us to safeguard jobs in key areas of the business and take advantage of the opportunities as travel restrictions ease.",How many people were employed across the Group at the end of 2021?,"{'answer_start': [0], 'text': ['At the end of 2021, 56,658 people were employed across the Group in 81 countries, a decline of 2 per cent in the year.']}"
